latitude,longitude,number,time,step,isobaricInhPa,valid_time,t,u,v,vo,w_mps
60.0,-58.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.52888,19.627914,16.594238,8.876901e-06,-0.00019053849643804272
60.0,-58.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.5201,19.561508,16.746582,1.0352116e-05,0.0020156179274750663
60.0,-57.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.49129,19.493149,16.918457,1.2304168e-05,0.004261331851113349
60.0,-57.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.44637,19.440414,17.109863,1.4196616e-05,0.0060649173864725315
60.0,-57.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.38777,19.415024,17.316895,1.5805941e-05,0.007025449800245054
60.0,-57.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.31648,19.416977,17.535645,1.7236453e-05,0.00754419811851404
60.0,-56.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.23299,19.442368,17.766113,1.862226e-05,0.008102236896102816
60.0,-56.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.13533,19.489243,18.004395,1.9873958e-05,0.008939612603022605
60.0,-56.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.024,19.563461,18.246582,2.0708423e-05,0.009895728283838025
60.0,-56.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.89803,19.665024,18.484863,2.0976644e-05,0.010610175709673543
60.0,-55.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.75887,19.78807,18.723145,2.066372e-05,0.011163242443710196
60.0,-55.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.60701,19.920883,18.9458,1.9829255e-05,0.011914691236146009
60.0,-55.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.44588,20.059555,19.152832,1.8517952e-05,0.012864182494916897
60.0,-55.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.28133,20.198227,19.336426,1.6729813e-05,0.013492956764459175
60.0,-54.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.11873,20.334946,19.500488,1.45542435e-05,0.013323684751130157
60.0,-54.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,222.96101,20.452133,19.652832,1.2304168e-05,0.012079436159201743
60.0,-54.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,222.80867,20.53807,19.80127,1.0411721e-05,0.009961462262534599
60.0,-54.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,222.65828,20.588852,19.95752,9.204727e-06,0.007130416843267093
60.0,-53.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,222.50496,20.616196,20.1333,8.757692e-06,0.0037863573920775217
60.0,-53.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,222.34187,20.63182,20.328613,8.757692e-06,0.00016882124463674802
60.0,-53.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,222.16365,20.651352,20.543457,8.802395e-06,-0.00320503265673789
60.0,-53.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,221.96736,20.684555,20.762207,8.698087e-06,-0.006017758080177607
60.0,-52.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,221.75252,20.745102,20.969238,8.444767e-06,-0.007992801511368466
60.0,-52.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,221.52107,20.842758,21.148926,7.982831e-06,-0.00909258737059031
60.0,-52.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,221.27596,20.98729,21.28955,7.0589595e-06,-0.00916159090016723
60.0,-52.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,221.02058,21.172836,21.3833,5.628448e-06,-0.0081638528035582
60.0,-51.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,220.75789,21.39354,21.418457,4.1085295e-06,-0.006182166674437939
60.0,-51.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,220.49178,21.649399,21.406738,3.1846575e-06,-0.003693010818427492
60.0,-51.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,220.22273,21.932602,21.367676,3.1846575e-06,-0.0010917974072805125
60.0,-51.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,219.9532,22.235336,21.312988,3.691297e-06,0.0014244762327160342
60.0,-50.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,219.6822,22.553696,21.250488,4.1979365e-06,0.003738322593767658
60.0,-50.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,219.40974,22.885727,21.184082,4.63007e-06,0.005732825078424169
60.0,-50.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,219.13484,23.23729,21.121582,5.27082e-06,0.0071741809540245
60.0,-50.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,218.8575,23.610336,21.059082,6.179791e-06,0.007947104210221052
60.0,-49.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,218.57674,23.999008,21.0083,6.909948e-06,0.008210258998011083
60.0,-49.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,218.29256,24.405258,20.953613,6.93975e-06,0.008043587628086664
60.0,-49.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,218.00496,24.829086,20.898926,6.2244944e-06,0.007487720684960138
60.0,-49.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,217.7159,25.276352,20.824707,4.88339e-06,0.006505387528575144
60.0,-48.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,217.42976,25.739243,20.730957,2.8121285e-06,0.005253795751261328
60.0,-48.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,217.1534,26.209946,20.60205,-4.3632463e-07,0.0038892684390778977
60.0,-48.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,216.89607,26.680649,20.42627,-4.9513765e-06,0.0024509200256846806
60.0,-48.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,216.66609,27.135727,20.1958,-1.0181684e-05,0.0007451412538980246
60.0,-47.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,216.46834,27.557602,19.91455,-1.5337486e-05,-0.0011118575610361706
60.0,-47.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,216.30428,27.926743,19.590332,-1.9956846e-05,-0.0027340627176473914
